X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.003756192,0.0337562
10.008712192,0.0337122
10.013668192,0.0336682
10.019164192,0.0341642
10.024120192,0.0341202
10.029076192,0.0340762
10.034972192,0.0349722
10.039928192,0.0349282
10.044884192,0.0348842
10.049840192,0.0348402
10.054796192,0.0347962
10.059752192,0.0347522
10.064708192,0.0347082
10.069664192,0.0346642
10.074620192,0.0346202
10.079576192,0.0345762
10.084532192,0.0345322
10.089488192,0.0344882
10.094444192,0.0344442
10.099400192,0.0344002
10.104356192,0.0343562
10.109312192,0.0343122
10.114268192,0.0342682
10.119764192,0.0347642
10.124720192,0.0347202
10.129676192,0.0346762
10.134632192,0.0346322
10.139588192,0.0345882
10.144544192,0.0345442
10.149500192,0.0345002
10.154456192,0.0344562
10.159412192,0.0344122
10.164368192,0.0343682
10.169324192,0.0343242
10.174280192,0.0342802
10.179236192,0.0342362
10.184192192,0.0341922
10.189148192,0.0341482
10.194104192,0.0341042
10.199060192,0.0340602
10.204016192,0.0340162
10.208972192,0.0339722
10.213928192,0.0339282
10.219424192,0.0344242
10.224380192,0.0343802
10.229336192,0.0343362
10.235232192,0.0352322
10.240188192,0.0351882
10.245144192,0.0351442
10.250100192,0.0351002
10.255056192,0.0350562
10.260012192,0.0350122
10.264968192,0.0349682
10.269924192,0.0349242
10.274880192,0.0348802
10.279836192,0.0348362
10.284792192,0.0347922
10.289748192,0.0347482
10.294704192,0.0347042
10.299660192,0.0346602
10.304616192,0.0346162
10.309572192,0.0345722
10.314528192,0.0345282
10.320024192,0.0350242
10.324980192,0.0349802
10.329936192,0.0349362
10.334892192,0.0348922
10.339848192,0.0348482
10.344804192,0.0348042
10.349760192,0.0347602
10.354716192,0.0347162
10.359672192,0.0346722
10.364628192,0.0346282
10.369584192,0.0345842
10.374540192,0.0345402
10.379496192,0.0344962
10.384452192,0.0344522
10.389408192,0.0344082
10.394364192,0.0343642
10.399320192,0.0343202
10.404276192,0.0342762
10.409232192,0.0342322
10.414188192,0.0341882
10.419684192,0.0346842
10.424640192,0.0346402
10.429596192,0.0345962
10.435492192,0.0354922
10.440448192,0.0354482
10.445404192,0.0354042
10.450360192,0.0353602
10.455316192,0.0353162
10.460272192,0.0352722
10.465228192,0.0352282
10.470184192,0.0351842
10.475140192,0.0351402
10.480096192,0.0350962
10.485052192,0.0350522
10.490008192,0.0350082
10.494964192,0.0349642
10.499920192,0.0349202
10.504876192,0.0348762
10.509832192,0.0348322
10.514788192,0.0347882
10.520284192,0.0352842
10.525240192,0.0352402
10.530196192,0.0351962
10.535152192,0.0351522
10.540108192,0.0351082
10.545064192,0.0350642
10.550020192,0.0350202
10.554976192,0.0349762
10.559932192,0.0349322
10.564888192,0.0348882
10.569844192,0.0348442
10.574800192,0.0348002
10.579756192,0.0347562
10.584712192,0.0347122
10.589668192,0.0346682
10.594624192,0.0346242
10.599580192,0.0345802
10.604536192,0.0345362
10.609492192,0.0344922
10.614448192,0.0344482
10.619944192,0.0349442
10.624900192,0.0349002
10.629856192,0.0348562
10.635752192,0.0357522
10.640708192,0.0357082
10.645664192,0.0356642
10.650620192,0.0356202
10.655576192,0.0355762
10.660532192,0.0355322
10.665488192,0.0354882
10.670444192,0.0354442
10.675400192,0.0354002
10.680356192,0.0353562
10.685312192,0.0353122
10.690268192,0.0352682
10.695224192,0.0352242
10.700180192,0.0351802
10.705136192,0.0351362
10.710092192,0.0350922
10.715048192,0.0350482
10.720544192,0.0355442
10.725500192,0.0355002
10.730456192,0.0354562
10.735412192,0.0354122
10.740368192,0.0353682
10.745324192,0.0353242
10.750280192,0.0352802
10.755236192,0.0352362
10.760192192,0.0351922
10.765148192,0.0351482
10.770104192,0.0351042
10.775060192,0.0350602
10.780016192,0.0350162
10.784972192,0.0349722
10.789928192,0.0349282
10.794884192,0.0348842
10.799840192,0.0348402
10.804796192,0.0347962
10.809752192,0.0347522
