X,SimNet_simple.Receiver.udpApp[0]/endToEndDelay:vector
10.002272192,0.627272
10.008228192,0.623228
10.014184192,0.624184
10.020140192,0.62514
10.027036192,0.627036
10.033532192,0.623532
10.039488192,0.624488
10.045444192,0.625444
10.051400192,0.6264
10.057356192,0.627356
10.063312192,0.623312
10.069268192,0.624268
10.075224192,0.625224
10.081180192,0.62618
10.087136192,0.627136
10.093092192,0.623092
10.099048192,0.624048
10.105004192,0.625004
10.110960192,0.62596
10.116916192,0.626916
10.122872192,0.622872
10.128828192,0.623828
10.135324192,0.625324
10.141280192,0.62628
10.147236192,0.627236
10.153192192,0.623192
10.159148192,0.624148
10.165104192,0.625104
10.171060192,0.62606
10.177016192,0.627016
10.182972192,0.622972
10.188928192,0.623928
10.194884192,0.624884
10.200840192,0.62584
10.206796192,0.626796
10.212752192,0.622752
10.218708192,0.623708
10.224664192,0.624664
10.231560192,0.62656
10.238056192,0.623056
10.244012192,0.624012
10.249968192,0.624968
10.255924192,0.625924
10.261880192,0.62688
10.267836192,0.622836
10.273792192,0.623792
10.279748192,0.624748
10.285704192,0.625704
10.291660192,0.62666
10.297616192,0.627616
10.303572192,0.623572
10.309528192,0.624528
10.315484192,0.625484
10.321440192,0.62644
10.327396192,0.627396
10.333352192,0.623352
10.339848192,0.624848
10.345804192,0.625804
10.351760192,0.62676
10.357716192,0.622716
10.363672192,0.623672
10.369628192,0.624628
10.375584192,0.625584
10.381540192,0.62654
10.387496192,0.627496
10.393452192,0.623452
10.399408192,0.624408
10.405364192,0.625364
10.411320192,0.62632
10.417276192,0.627276
10.423232192,0.623232
10.430128192,0.625128
10.436624192,0.626624
10.442580192,0.62758
10.448536192,0.623536
10.454492192,0.624492
10.460448192,0.625448
10.466404192,0.626404
10.472360192,0.62736
10.478316192,0.623316
10.484272192,0.624272
10.490228192,0.625228
10.496184192,0.626184
10.502140192,0.62714
10.508096192,0.623096
10.514052192,0.624052
10.520008192,0.625008
10.525964192,0.625964
10.531920192,0.62692
10.538416192,0.623416
10.544372192,0.624372
10.550328192,0.625328
10.556284192,0.626284
10.562240192,0.62724
10.568196192,0.623196
10.574152192,0.624152
10.580108192,0.625108
10.586064192,0.626064
10.592020192,0.62702
10.597976192,0.622976
10.603932192,0.623932
10.609888192,0.624888
10.615844192,0.625844
10.621800192,0.6268
10.628696192,0.623696
10.635192192,0.625192
10.641148192,0.626148
10.647104192,0.627104
10.653060192,0.62306
10.659016192,0.624016
10.664972192,0.624972
10.670928192,0.625928
10.676884192,0.626884
10.682840192,0.62284
10.688796192,0.623796
10.694752192,0.624752
10.700708192,0.625708
10.706664192,0.626664
10.712620192,0.62762
10.718576192,0.623576
10.724532192,0.624532
10.730488192,0.625488
10.736984192,0.626984
10.742940192,0.62294
10.748896192,0.623896
10.754852192,0.624852
10.760808192,0.625808
10.766764192,0.626764
10.772720192,0.62272
10.778676192,0.623676
10.784632192,0.624632
10.790588192,0.625588
10.796544192,0.626544
10.802500192,0.6275
10.808456192,0.623456
10.814412192,0.624412
10.820368192,0.625368
10.827264192,0.627264
10.833220192,0.62322
10.839716192,0.624716
10.845672192,0.625672
10.851628192,0.626628
10.857584192,0.627584
10.863540192,0.62354
10.869496192,0.624496
10.875452192,0.625452
10.881408192,0.626408
10.887364192,0.627364
10.893320192,0.62332
10.899276192,0.624276
10.905232192,0.625232
10.911188192,0.626188
10.917144192,0.627144
10.923100192,0.6231
10.929056192,0.624056
10.935552192,0.625552
10.941508192,0.626508
10.947464192,0.627464
10.953420192,0.62342
10.959376192,0.624376
10.965332192,0.625332
10.971288192,0.626288
10.977244192,0.627244
10.983200192,0.6232
10.989156192,0.624156
10.995112192,0.625112
11.001068192,0.626068
11.007024192,0.627024
11.012980192,0.62298
11.018936192,0.623936
11.024892192,0.624892
11.031788192,0.626788
11.038284192,0.623284
11.044240192,0.62424
11.050196192,0.625196
11.056152192,0.626152
11.062108192,0.627108
11.068064192,0.623064
11.074020192,0.62402
11.079976192,0.624976
11.085932192,0.625932
11.091888192,0.626888
11.097844192,0.622844
11.103800192,0.6238
11.109756192,0.624756
11.115712192,0.625712
11.121668192,0.626668
11.127624192,0.627624
11.134120192,0.62412
11.140076192,0.625076
11.146032192,0.626032
11.151988192,0.626988
11.157944192,0.622944
11.163900192,0.6239
11.169856192,0.624856
11.175812192,0.625812
11.181768192,0.626768
11.187724192,0.622724
11.193680192,0.62368
11.199636192,0.624636
11.205592192,0.625592
11.211548192,0.626548
11.217504192,0.627504
11.223460192,0.62346
11.230356192,0.625356
11.236852192,0.626852
11.242808192,0.622808
11.248764192,0.623764
11.254720192,0.62472
11.260676192,0.625676
11.266632192,0.626632
11.272588192,0.627588
11.278544192,0.623544
11.284500192,0.6245
11.290456192,0.625456
11.296412192,0.626412
11.302368192,0.627368
11.308324192,0.623324
11.314280192,0.62428
11.320236192,0.625236
11.326192192,0.626192
11.332148192,0.627148
11.338644192,0.623644
11.344600192,0.6246
11.350556192,0.625556
11.356512192,0.626512
11.362468192,0.627468
11.368424192,0.623424
11.374380192,0.62438
11.380336192,0.625336
11.386292192,0.626292
11.392248192,0.627248
11.398204192,0.623204
11.404160192,0.62416
11.410116192,0.625116
11.416072192,0.626072
11.422028192,0.627028
11.428924192,0.623924
11.435420192,0.62542
11.441376192,0.626376
11.447332192,0.627332
11.453288192,0.623288
11.459244192,0.624244
11.465200192,0.6252
11.471156192,0.626156
11.477112192,0.627112
11.483068192,0.623068
11.489024192,0.624024
11.494980192,0.62498
11.500936192,0.625936
11.506892192,0.626892
11.512848192,0.622848
11.518804192,0.623804
11.524760192,0.62476
11.530716192,0.625716
11.537212192,0.627212
11.543168192,0.623168
11.549124192,0.624124
11.555080192,0.62508
11.561036192,0.626036
11.566992192,0.626992
11.572948192,0.622948
11.578904192,0.623904
11.584860192,0.62486
11.590816192,0.625816
11.596772192,0.626772
11.602728192,0.622728
11.608684192,0.623684
11.614640192,0.62464
11.620596192,0.625596
11.627492192,0.627492
11.633988192,0.623988
11.639944192,0.624944
11.645900192,0.6259
11.651856192,0.626856
11.657812192,0.622812
11.663768192,0.623768
11.669724192,0.624724
11.675680192,0.62568
11.681636192,0.626636
11.687592192,0.627592
11.693548192,0.623548
11.699504192,0.624504
11.705460192,0.62546
11.711416192,0.626416
11.717372192,0.627372
11.723328192,0.623328
11.729284192,0.624284
11.735780192,0.62578
11.741736192,0.626736
11.747692192,0.622692
11.753648192,0.623648
11.759604192,0.624604
11.765560192,0.62556
11.771516192,0.626516
11.777472192,0.627472
11.783428192,0.623428
11.789384192,0.624384
11.795340192,0.62534
11.801296192,0.626296
11.807252192,0.627252
11.813208192,0.623208
11.819164192,0.624164
11.825120192,0.62512
11.832016192,0.627016
11.838512192,0.623512
11.844468192,0.624468
11.850424192,0.625424
11.856380192,0.62638
11.862336192,0.627336
11.868292192,0.623292
11.874248192,0.624248
