X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.040946096,0.0409461
2.240946096,0.0409461
2.440946096,0.0409461
2.640946096,0.0409461
2.840946096,0.0409461
3.040946096,0.0409461
3.261470096,0.0614701
3.464266096,0.0642661
3.663446096,0.0634461
3.862626096,0.0626261
4.061806096,0.0618061
4.260986096,0.0609861
4.460166096,0.0601661
4.659346096,0.0593461
4.858526096,0.0585261
5.057886096,0.0578861
5.257066096,0.0570661
5.456246096,0.0562461
5.655426096,0.0554261
5.854606096,0.0546061
6.053786096,0.0537861
6.252966096,0.0529661
6.452146096,0.0521461
6.651326096,0.0513261
6.850506096,0.0505061
7.049686096,0.0496861
7.248866096,0.0488661
7.448046096,0.0480461
7.647766096,0.0477661
7.848026096,0.0480261
8.048286096,0.0482861
8.248546096,0.0485461
8.448806096,0.0488061
8.649066096,0.0490661
8.849326096,0.0493261
9.049586096,0.0495861
9.249846096,0.0498461
9.450106096,0.0501061
9.650366096,0.0503661
9.850626096,0.0506261
10.050886096,0.0508861
10.251146096,0.0511461
10.451406096,0.0514061
10.651666096,0.0516661
10.851926096,0.0519261
11.052186096,0.0521861
11.252446096,0.0524461
11.452706096,0.0527061
11.652966096,0.0529661
11.853226096,0.0532261
12.053486096,0.0534861
12.253746096,0.0537461
12.454006096,0.0540061
12.654266096,0.0542661
12.854526096,0.0545261
13.054786096,0.0547861
13.255046096,0.0550461
13.455306096,0.0553061
13.655566096,0.0555661
13.855826096,0.0558261
14.056086096,0.0560861
14.256346096,0.0563461
14.456606096,0.0566061
14.656866096,0.0568661
14.857126096,0.0571261
15.057386096,0.0573861
15.257646096,0.0576461
15.457906096,0.0579061
15.658166096,0.0581661
15.858426096,0.0584261
16.058686096,0.0586861
16.258946096,0.0589461
16.459206096,0.0592061
16.659466096,0.0594661
16.859726096,0.0597261
17.059986096,0.0599861
17.260246096,0.0602461
17.460506096,0.0605061
17.660766096,0.0607661
17.861026096,0.0610261
18.061286096,0.0612861
18.261546096,0.0615461
18.461806096,0.0618061
18.662066096,0.0620661
18.862326096,0.0623261
19.062586096,0.0625861
19.262846096,0.0628461
19.463106096,0.0631061
19.663366096,0.0633661
19.863626096,0.0636261
20.063886096,0.0638861
20.264146096,0.0641461
20.464406096,0.0644061
20.664666096,0.0646661
20.864926096,0.0649261
21.065186096,0.0651861
21.265446096,0.0654461
21.465706096,0.0657061
21.665966096,0.0659661
21.866226096,0.0662261
22.066486096,0.0664861
22.266746096,0.0667461
22.467006096,0.0670061
22.667266096,0.0672661
22.867526096,0.0675261
23.067786096,0.0677861
23.268046096,0.0680461
23.468306096,0.0683061
23.668566096,0.0685661
23.868826096,0.0688261
24.069086096,0.0690861
24.269346096,0.0693461
24.469606096,0.0696061
24.669866096,0.0698661
24.870126096,0.0701261
25.070386096,0.0703861
25.270646096,0.0706461
25.470906096,0.0709061
25.671166096,0.0711661
25.871426096,0.0714261
26.071686096,0.0716861
26.271946096,0.0719461
26.472206096,0.0722061
26.672466096,0.0724661
26.872726096,0.0727261
27.072986096,0.0729861
27.273246096,0.0732461
27.473506096,0.0735061
27.673766096,0.0737661
27.874026096,0.0740261
28.074286096,0.0742861
28.274546096,0.0745461
28.474806096,0.0748061
28.675066096,0.0750661
28.875326096,0.0753261
29.075586096,0.0755861
29.275846096,0.0758461
29.476106096,0.0761061
29.676366096,0.0763661
29.876626096,0.0766261
30.076886096,0.0768861
30.277146096,0.0771461
30.477406096,0.0774061
30.677666096,0.0776661
30.877926096,0.0779261
31.078186096,0.0781861
31.278446096,0.0784461
31.478862096,0.0788621
31.679122096,0.0791221
31.879382096,0.0793821
32.079642096,0.0796421
32.279902096,0.0799021
32.480162096,0.0801621
32.680422096,0.0804221
32.880682096,0.0806821
33.080942096,0.0809421
33.281202096,0.0812021
33.481462096,0.0814621
