X,SimNet_simple.sPDC.udpApp[0]/endToEndDelay:vector
2.020946096,0.0209461
2.220946096,0.0209461
2.420946096,0.0209461
2.620946096,0.0209461
2.820946096,0.0209461
3.020946096,0.0209461
3.220946096,0.0209461
3.420946096,0.0209461
3.620946096,0.0209461
3.820946096,0.0209461
4.020946096,0.0209461
4.220946096,0.0209461
4.420946096,0.0209461
4.620946096,0.0209461
4.820946096,0.0209461
5.020946096,0.0209461
5.220946096,0.0209461
5.420946096,0.0209461
5.620946096,0.0209461
5.820946096,0.0209461
6.020946096,0.0209461
6.220946096,0.0209461
6.420946096,0.0209461
6.620946096,0.0209461
6.820946096,0.0209461
7.020946096,0.0209461
7.220946096,0.0209461
7.420946096,0.0209461
7.620946096,0.0209461
7.820946096,0.0209461
8.020946096,0.0209461
8.220946096,0.0209461
8.420946096,0.0209461
8.620946096,0.0209461
8.820946096,0.0209461
9.020946096,0.0209461
9.220946096,0.0209461
9.420946096,0.0209461
9.620946096,0.0209461
9.820946096,0.0209461
10.020946096,0.0209461
10.220946096,0.0209461
10.420946096,0.0209461
10.620946096,0.0209461
10.820946096,0.0209461
11.020946096,0.0209461
11.220946096,0.0209461
11.420946096,0.0209461
11.620946096,0.0209461
11.820946096,0.0209461
12.020946096,0.0209461
12.220946096,0.0209461
12.420946096,0.0209461
12.620946096,0.0209461
12.820946096,0.0209461
13.020946096,0.0209461
13.220946096,0.0209461
13.420946096,0.0209461
13.620946096,0.0209461
13.820946096,0.0209461
14.020946096,0.0209461
14.220946096,0.0209461
14.420946096,0.0209461
14.620946096,0.0209461
14.820946096,0.0209461
15.020946096,0.0209461
15.220946096,0.0209461
15.420946096,0.0209461
15.620946096,0.0209461
15.820946096,0.0209461
16.020946096,0.0209461
16.220946096,0.0209461
16.420946096,0.0209461
16.620946096,0.0209461
16.820946096,0.0209461
17.020946096,0.0209461
17.220946096,0.0209461
17.420946096,0.0209461
17.620946096,0.0209461
17.820946096,0.0209461
18.020946096,0.0209461
18.220946096,0.0209461
18.420946096,0.0209461
18.620946096,0.0209461
18.820946096,0.0209461
19.020946096,0.0209461
19.220946096,0.0209461
19.420946096,0.0209461
19.620946096,0.0209461
19.820946096,0.0209461
20.020946096,0.0209461
20.220946096,0.0209461
20.420946096,0.0209461
20.620946096,0.0209461
20.820946096,0.0209461
21.020946096,0.0209461
21.220946096,0.0209461
21.420946096,0.0209461
21.620946096,0.0209461
21.820946096,0.0209461
22.020946096,0.0209461
22.220946096,0.0209461
22.420946096,0.0209461
22.620946096,0.0209461
22.820946096,0.0209461
23.020946096,0.0209461
23.220946096,0.0209461
23.420946096,0.0209461
23.620946096,0.0209461
23.820946096,0.0209461
24.020946096,0.0209461
24.220946096,0.0209461
24.420946096,0.0209461
24.620946096,0.0209461
24.820946096,0.0209461
25.020946096,0.0209461
25.220946096,0.0209461
25.420946096,0.0209461
25.620946096,0.0209461
25.820946096,0.0209461
26.020946096,0.0209461
26.220946096,0.0209461
26.420946096,0.0209461
26.620946096,0.0209461
26.820946096,0.0209461
27.020946096,0.0209461
27.220946096,0.0209461
27.420946096,0.0209461
27.620946096,0.0209461
27.820946096,0.0209461
28.020946096,0.0209461
28.220946096,0.0209461
28.420946096,0.0209461
28.620946096,0.0209461
28.820946096,0.0209461
29.020946096,0.0209461
29.220946096,0.0209461
29.420946096,0.0209461
29.620946096,0.0209461
29.820946096,0.0209461
30.020946096,0.0209461
30.220946096,0.0209461
30.420946096,0.0209461
30.620946096,0.0209461
30.820946096,0.0209461
31.020946096,0.0209461
31.220946096,0.0209461
31.420946096,0.0209461
31.620946096,0.0209461
31.820946096,0.0209461
32.020946096,0.0209461
32.220946096,0.0209461
32.420946096,0.0209461
32.620946096,0.0209461
32.820946096,0.0209461
33.020946096,0.0209461
33.220946096,0.0209461
33.420946096,0.0209461
33.620946096,0.0209461
33.820946096,0.0209461
34.020946096,0.0209461
34.220946096,0.0209461
34.420946096,0.0209461
34.620946096,0.0209461
34.820946096,0.0209461
35.020946096,0.0209461
35.220946096,0.0209461
35.420946096,0.0209461
35.620946096,0.0209461
35.820946096,0.0209461
36.020946096,0.0209461
36.220946096,0.0209461
36.420946096,0.0209461
36.620946096,0.0209461
36.820946096,0.0209461
37.020946096,0.0209461
