X,SimNet_simple.PIM2.ppp[0].queue/queueLength:vector
0,0
2.000027648,1
2.000944064,0
2.200024192,1
2.200944064,0
2.400024192,1
2.400944064,0
2.600024192,1
2.600944064,0
2.800024192,1
2.800944064,0
3.000024192,1
3.000944064,0
3.200024192,1
3.200944064,0
3.400024192,1
3.400944064,0
3.600024192,1
3.600944064,0
3.800024192,1
3.800944064,0
4.000024192,1
4.000944064,0
4.200024192,1
4.200944064,0
4.236258686287,1
4.238980192,0
4.400024192,1
4.400944064,0
4.600024192,1
4.600944064,0
4.800024192,1
4.800944064,0
4.991297248,1
4.993980192,0
4.995024192,1
4.995452192,0
4.996833624,1
4.99728772,2
4.999408192,1
4.999644192,0
5.000024192,1
5.000944064,0
5.200024192,1
5.200944064,0
5.226197624,1
5.227065208,2
5.227852208,3
5.228649208,4
5.228980192,3
5.230024192,4
5.230047208,5
5.231216192,4
5.231654208,5
5.232499208,6
5.233238624,7
5.233475624,8
5.233973624,9
5.235024192,10
5.235244192,9
5.23743572,10
5.240024192,11
5.241272192,10
5.245024192,11
5.247300192,10
5.250024192,11
5.251256192,10
5.255024192,11
5.257284192,10
5.260024192,11
5.263312192,10
5.265024192,11
5.269340192,10
5.270024192,11
5.273576192,10
5.273812192,9
5.274048192,8
5.275024192,9
5.278004192,8
5.278288192,7
5.280024192,8
5.282244192,7
5.285024192,8
5.286200192,7
5.290024192,8
5.290156192,7
5.294112192,6
5.295024192,7
5.298068192,6
5.300024192,7
5.302024192,6
5.305024192,7
5.305980192,6
5.309936192,5
5.310024192,6
5.313892192,5
5.315024192,6
5.317848192,5
5.320024192,6
5.321804192,5
5.325024192,6
5.325760192,5
5.329716192,4
5.330024192,5
5.333672192,4
5.335024192,5
5.337628192,4
5.340024192,5
5.341584192,4
5.345024192,5
5.345540192,4
5.349496192,3
5.350024192,4
5.353452192,3
5.355024192,4
5.357408192,3
5.360024192,4
5.361364192,3
5.365024192,4
5.365320192,3
5.369276192,2
5.370024192,3
5.373232192,2
5.375024192,3
5.377188192,2
5.380024192,3
5.381144192,2
5.385024192,3
5.385100192,2
5.389056192,1
5.390024192,2
5.393012192,1
5.395024192,2
5.396968192,1
5.400004064,2
5.400024192,3
5.400924192,2
5.404880192,1
5.405024192,2
5.405820192,1
5.409776192,0
5.410024192,1
5.413732192,0
5.415024192,1
5.417688192,0
5.420024192,1
5.421644192,0
5.425024192,1
5.425600192,0
5.480676688,1
5.480938624,2
5.48212264,3
5.483211624,4
5.483980192,3
5.484248192,2
5.484484192,1
5.485024192,2
5.485228192,1
5.485464192,0
5.531056624,1
5.53139972,2
5.533980192,1
5.534216192,0
5.600024192,1
5.600944064,0
5.800024192,1
5.800944064,0
6.000024192,1
6.000944064,0
6.020024192,1
6.02062432,0
6.021635624,1
6.023518624,2
6.02458032,1
6.02459672,2
6.02481632,1
6.025024192,2
6.02505232,1
6.02533632,0
6.200024192,1
6.200944064,0
6.400024192,1
6.400944064,0
6.600024192,1
6.600944064,0
6.800024192,1
6.800944064,0
7.000024192,1
7.000944064,0
7.200024192,1
7.200944064,0
7.400024192,1
7.400944064,0
7.595024192,1
7.595586096,0
7.597193624,1
7.598245624,2
7.59932872,3
7.599542096,2
7.599778096,1
7.600004064,2
7.600014096,1
7.600024192,2
7.600298096,1
7.601238096,0
7.605024192,1
7.605194096,0
7.800024192,1
7.800944064,0
8.000024192,1
8.000944064,0
8.200024192,1
8.200944064,0
8.400024192,1
8.400944064,0
8.600024192,1
8.600944064,0
8.800024192,1
8.800944064,0
9.000024192,1
9.000944064,0
9.200024192,1
9.200944064,0
9.400024192,1
9.400944064,0
9.600024192,1
9.600944064,0
9.658183232,1
9.658980192,0
9.755931232,1
9.758980192,0
9.800024192,1
9.800944064,0
9.856680232,1
9.858980192,0
9.955686232,1
9.958980192,0
10.000024192,1
10.000944064,0
10.055921232,1
10.058980192,0
10.156125232,1
10.158980192,0
10.200024192,1
10.200944064,0
10.255502232,1
10.258980192,0
10.355978232,1
10.358980192,0
10.400024192,1
10.400944064,0
10.455807232,1
10.458980192,0
10.555902232,1
10.558980192,0
10.600024192,1
10.600944064,0
10.656006232,1
10.658980192,0
10.755381232,1
10.758980192,0
10.800024192,1
10.800944064,0
10.855653232,1
10.858980192,0
10.956037232,1
10.958980192,0
11.000024192,1
11.000944064,0
11.055927232,1
11.058980192,0
11.155457232,1
11.158980192,0
11.200024192,1
11.200944064,0
11.255931232,1
11.258980192,0
11.356088232,1
11.358980192,0
11.400024192,1
11.400944064,0
11.455931232,1
11.458980192,0
11.555926232,1
11.558980192,0
11.600024192,1
11.600944064,0
11.655924232,1
11.658980192,0
11.756133232,1
11.758980192,0
11.800024192,1
11.800944064,0
11.855939232,1
11.858980192,0
11.955927232,1
11.958980192,0
12.000024192,1
12.000944064,0
12.055127232,1
12.058980192,0
12.155930232,1
12.158980192,0
12.200024192,1
12.200944064,0
12.255826232,1
12.258980192,0
12.356142232,1
12.358980192,0
12.400024192,1
12.400944064,0
12.455920232,1
12.458980192,0
12.555930232,1
12.558980192,0
12.600024192,1
12.600944064,0
12.655930232,1
12.658980192,0
12.755125232,1
12.758980192,0
12.800024192,1
12.800944064,0
12.855950232,1
12.858980192,0
12.955927232,1
12.958980192,0
13.000024192,1
13.000944064,0
13.055990232,1
13.058980192,0
13.155925232,1
13.158980192,0
13.200024192,1
13.200944064,0
13.255941232,1
13.258980192,0
13.355924232,1
13.358980192,0
13.400024192,1
13.400944064,0
13.455106232,1
13.458980192,0
13.555922232,1
13.558980192,0
13.600024192,1
13.600944064,0
13.655929232,1
13.658980192,0
13.755921232,1
13.758980192,0
13.800024192,1
13.800944064,0
13.855917232,1
13.858980192,0
13.955933232,1
13.958980192,0
14.000024192,1
14.000944064,0
14.055928232,1
14.058980192,0
14.156112232,1
14.158980192,0
14.200024192,1
14.200944064,0
14.255911232,1
14.258980192,0
14.355915232,1
14.358980192,0
14.400024192,1
14.400944064,0
14.455915232,1
14.458980192,0
14.556153232,1
14.558980192,0
14.600024192,1
14.600944064,0
14.655927232,1
14.658980192,0
14.755925232,1
14.758980192,0
14.800024192,1
14.800944064,0
14.855930232,1
14.858980192,0
14.955928232,1
14.958980192,0
15.000024192,1
15.000944064,0
15.055921232,1
15.058980192,0
15.156121232,1
15.158980192,0
15.200024192,1
15.200944064,0
15.255925232,1
15.258980192,0
15.355957232,1
15.358980192,0
15.400024192,1
15.400944064,0
15.455932232,1
15.458980192,0
15.555122232,1
15.558980192,0
15.600024192,1
15.600944064,0
15.655921232,1
15.658980192,0
15.755943232,1
15.758980192,0
15.800024192,1
15.800944064,0
15.856037232,1
15.858980192,0
15.955919232,1
15.958980192,0
16.000024192,1
16.000944064,0
16.055929232,1
16.058980192,0
16.155919232,1
16.158980192,0
16.200024192,1
16.200944064,0
16.255129232,1
16.258980192,0
16.355925232,1
16.358980192,0
16.400024192,1
16.400944064,0
16.455870232,1
16.458980192,0
16.555910232,1
16.558980192,0
16.600024192,1
16.600944064,0
16.655917232,1
16.658980192,0
16.755927232,1
16.758980192,0
16.800024192,1
16.800944064,0
16.855931232,1
16.858980192,0
16.956098232,1
16.958980192,0
17.000024192,1
17.000944064,0
